Delivery Date,Hour,da_price,rt_price
2019-01-01,1,20.34,14.8275
2019-01-01,2,19.36,15.86
2019-01-01,3,19.29,15.85
2019-01-01,4,18.96,16.145000000000003
2019-01-01,5,21.01,16.0325
2019-01-01,6,21.98,16.965
2019-01-01,7,23.17,17.9625
2019-01-01,8,24.51,18.067500000000003
2019-01-01,9,25.47,18.8725
2019-01-01,10,25.0,20.052500000000002
2019-01-01,11,24.89,21.057499999999997
2019-01-01,12,25.38,21.5175
2019-01-01,13,24.0,21.79
2019-01-01,14,22.71,21.7475
2019-01-01,15,22.6,21.7225
2019-01-01,16,22.29,21.515
2019-01-01,17,23.12,22.36
2019-01-01,18,29.88,29.35
2019-01-01,19,33.74,30.7825
2019-01-01,20,29.11,30.275
2019-01-01,21,27.28,27.97
2019-01-01,22,25.79,25.62
2019-01-01,23,24.21,24.1475
2019-01-01,24,22.48,21.2375
2019-01-02,1,22.75,20.8975
2019-01-02,2,21.85,20.2675
2019-01-02,3,21.98,18.305
2019-01-02,4,21.62,17.575
2019-01-02,5,23.82,16.7175
2019-01-02,6,27.55,20.48
2019-01-02,7,36.87,22.685
2019-01-02,8,37.33,28.565
2019-01-02,9,35.13,35.5825
2019-01-02,10,38.75,43.3325
2019-01-02,11,40.08,44.29
2019-01-02,12,37.38,112.0525
2019-01-02,13,34.82,37.975
2019-01-02,14,34.91,36.925
2019-01-02,15,34.54,33.3675
2019-01-02,16,34.47,33.26
2019-01-02,17,35.53,35.765
2019-01-02,18,63.66,70.82249999999999
2019-01-02,19,65.57,57.1475
2019-01-02,20,39.18,40.3825
2019-01-02,21,38.59,39.215
2019-01-02,22,34.35,31.987499999999997
2019-01-02,23,30.89,29.1175
2019-01-02,24,25.14,26.9125
2019-01-03,1,24.91,24.98
2019-01-03,2,22.03,21.9425
2019-01-03,3,22.55,21.0675
2019-01-03,4,21.93,20.41
2019-01-03,5,21.97,20.68
2019-01-03,6,28.01,21.07
2019-01-03,7,52.39,22.985
2019-01-03,8,37.8,28.485
2019-01-03,9,32.71,29.28
2019-01-03,10,32.85,30.169999999999998
2019-01-03,11,31.44,30.5875
2019-01-03,12,28.76,26.62
2019-01-03,13,27.4,24.2425
2019-01-03,14,25.88,21.95
2019-01-03,15,23.23,19.6375
2019-01-03,16,23.94,19.445
2019-01-03,17,26.59,21.285
2019-01-03,18,40.67,31.915
2019-01-03,19,44.04,33.4475
2019-01-03,20,34.21,29.175
2019-01-03,21,33.11,28.7925
2019-01-03,22,29.22,26.5225
2019-01-03,23,26.68,25.915
2019-01-03,24,23.07,22.7075
2019-01-04,1,21.22,19.7275
2019-01-04,2,20.92,18.415
2019-01-04,3,20.4,17.73
2019-01-04,4,21.02,17.4525
2019-01-04,5,22.02,17.23
2019-01-04,6,27.28,18.6275
2019-01-04,7,53.45,20.495
2019-01-04,8,45.18,22.7325
2019-01-04,9,35.57,22.1425
2019-01-04,10,31.64,22.4925
2019-01-04,11,28.8,23.4025
2019-01-04,12,26.07,21.02
2019-01-04,13,23.53,20.252499999999998
2019-01-04,14,22.99,19.4575
2019-01-04,15,21.86,18.515
2019-01-04,16,21.0,17.96
2019-01-04,17,22.46,18.2025
2019-01-04,18,34.49,19.822499999999998
2019-01-04,19,31.43,21.16
2019-01-04,20,26.32,20.3725
2019-01-04,21,26.55,20.3125
2019-01-04,22,26.86,19.9475
2019-01-04,23,23.67,19.745
2019-01-04,24,22.18,18.6725
2019-01-05,1,20.93,18.7325
2019-01-05,2,19.61,18.25
2019-01-05,3,19.46,17.9425
2019-01-05,4,18.97,18.3425
2019-01-05,5,20.29,20.2425
2019-01-05,6,21.88,27.4075
2019-01-05,7,25.92,31.9075
2019-01-05,8,29.5,33.145
2019-01-05,9,31.32,31.635
2019-01-05,10,30.11,21.835
2019-01-05,11,24.81,20.705000000000002
2019-01-05,12,23.04,20.72
2019-01-05,13,23.1,20.9325
2019-01-05,14,21.52,19.322499999999998
2019-01-05,15,20.15,18.384999999999998
2019-01-05,16,19.47,17.4775
2019-01-05,17,19.47,17.6175
2019-01-05,18,24.06,18.755
2019-01-05,19,21.68,17.3
2019-01-05,20,20.96,16.435
2019-01-05,21,20.95,16.8675
2019-01-05,22,20.86,17.2325
2019-01-05,23,20.73,17.53
2019-01-05,24,18.74,15.355
2019-01-06,1,18.06,13.6325
2019-01-06,2,17.06,8.7275
2019-01-06,3,16.94,4.78
2019-01-06,4,16.67,7.82
2019-01-06,5,17.97,9.4875
2019-01-06,6,18.85,12.0225
2019-01-06,7,19.08,15.235
2019-01-06,8,20.17,17.495
2019-01-06,9,22.5,22.7525
2019-01-06,10,22.42,21.8875
2019-01-06,11,20.36,16.9525
2019-01-06,12,18.84,13.675
2019-01-06,13,18.0,11.89
2019-01-06,14,17.6,11.6325
2019-01-06,15,16.88,9.7775
2019-01-06,16,17.35,10.7525
2019-01-06,17,17.79,11.9625
2019-01-06,18,22.2,16.505
2019-01-06,19,22.15,21.5375
2019-01-06,20,20.68,19.872500000000002
2019-01-06,21,19.59,17.9225
2019-01-06,22,18.1,14.8225
2019-01-06,23,17.02,4.3075
2019-01-06,24,16.25,-0.5825
2019-01-07,1,14.64,-0.8425
2019-01-07,2,13.72,-1.025
2019-01-07,3,14.72,-0.835
2019-01-07,4,14.51,-0.525
2019-01-07,5,17.14,0.1175
2019-01-07,6,20.85,7.425
2019-01-07,7,21.31,17.2775
2019-01-07,8,23.2,17.52
2019-01-07,9,21.68,17.314999999999998
2019-01-07,10,22.04,18.165
2019-01-07,11,21.66,19.490000000000002
2019-01-07,12,21.91,20.575
2019-01-07,13,22.46,20.634999999999998
2019-01-07,14,22.72,20.375
2019-01-07,15,22.0,20.055
2019-01-07,16,22.06,20.4025
2019-01-07,17,22.34,20.455
2019-01-07,18,40.05,25.915
2019-01-07,19,31.09,28.15
2019-01-07,20,22.59,25.1425
2019-01-07,21,22.76,23.6675
2019-01-07,22,22.54,20.57
2019-01-07,23,21.32,16.51
2019-01-07,24,19.09,14.545
2019-01-08,1,15.71,14.925
2019-01-08,2,15.31,15.945
2019-01-08,3,15.24,16.830000000000002
2019-01-08,4,16.56,16.4025
2019-01-08,5,17.37,17.1725
2019-01-08,6,20.44,20.0625
2019-01-08,7,23.09,25.2425
2019-01-08,8,26.01,25.7725
2019-01-08,9,24.82,20.362499999999997
2019-01-08,10,21.84,19.2125
2019-01-08,11,21.7,21.325
2019-01-08,12,20.48,24.2425
2019-01-08,13,21.07,29.232499999999998
2019-01-08,14,21.4,25.6625
2019-01-08,15,21.37,24.4725
2019-01-08,16,21.04,24.6925
2019-01-08,17,21.83,19.7125
2019-01-08,18,41.23,23.015
2019-01-08,19,32.19,22.73
2019-01-08,20,25.48,20.814999999999998
2019-01-08,21,24.43,19.7775
2019-01-08,22,25.02,19.9275
2019-01-08,23,21.82,19.6
2019-01-08,24,21.09,18.119999999999997
2019-01-09,1,18.91,17.055
2019-01-09,2,18.07,16.5025
2019-01-09,3,18.5,16.552500000000002
2019-01-09,4,18.5,17.465
2019-01-09,5,19.8,18.93
2019-01-09,6,21.04,22.8125
2019-01-09,7,32.81,29.255
2019-01-09,8,28.75,25.439999999999998
2019-01-09,9,25.63,27.902500000000003
2019-01-09,10,25.74,23.63
2019-01-09,11,22.66,21.59
2019-01-09,12,22.03,21.150000000000002
2019-01-09,13,21.71,20.6225
2019-01-09,14,20.6,20.247500000000002
2019-01-09,15,19.94,19.74
2019-01-09,16,19.82,18.9475
2019-01-09,17,20.71,19.605
2019-01-09,18,29.21,26.945
2019-01-09,19,31.73,26.155
2019-01-09,20,24.47,29.0825
2019-01-09,21,24.31,27.080000000000002
2019-01-09,22,24.0,22.3475
2019-01-09,23,22.51,21.2175
2019-01-09,24,21.43,18.9975
2019-01-10,1,18.62,18.43
2019-01-10,2,17.91,17.9525
2019-01-10,3,17.7,17.8025
2019-01-10,4,18.31,17.935000000000002
2019-01-10,5,18.98,17.75
2019-01-10,6,21.31,18.73
2019-01-10,7,36.73,32.3575
2019-01-10,8,28.28,22.3
2019-01-10,9,24.33,20.9075
2019-01-10,10,23.45,20.305
2019-01-10,11,22.56,21.4025
2019-01-10,12,22.3,19.8725
2019-01-10,13,20.76,22.14
2019-01-10,14,20.32,20.7825
2019-01-10,15,19.49,20.2475
2019-01-10,16,19.15,19.512500000000003
2019-01-10,17,19.65,19.5925
2019-01-10,18,26.18,23.3175
2019-01-10,19,24.9,25.9825
