Date,Hour,Temperature,DHI,GHI,DNI,Cloud Type,Solar_kWh
2019-01-01,1,14.0,0,0,0,7,0.0
2019-01-01,2,13.6,0,0,0,7,0.0
2019-01-01,3,13.2,0,0,0,7,0.0
2019-01-01,4,12.9,0,0,0,7,0.0
2019-01-01,5,12.6,0,0,0,0,0.0
2019-01-01,6,12.1,0,0,0,0,0.0
2019-01-01,7,11.6,0,0,0,0,0.0
2019-01-01,8,11.4,0,0,0,0,0.0
2019-01-01,9,11.2,0,0,0,7,0.0
2019-01-01,10,11.5,0,0,0,7,0.0
2019-01-01,11,12.0,0,0,0,7,0.0
2019-01-01,12,12.7,0,0,0,0,0.0
2019-01-01,13,13.6,0,0,0,0,0.0
2019-01-01,14,15.8,18,21,86,0,0.11344201351875002
2019-01-01,15,18.6,55,114,252,0,0.6006002262749999
2019-01-01,16,20.6,91,91,0,3,0.47669715331874996
2019-01-01,17,21.9,260,349,164,3,1.7517229593187498
2019-01-01,18,22.6,211,224,20,7,1.1411273664000003
2019-01-01,19,22.9,184,187,5,7,0.9563857980187499
2019-01-01,20,23.0,126,127,2,7,0.65480101846875
2019-01-01,21,22.6,81,82,1,7,0.42625207507500007
2019-01-01,22,21.700000000000003,75,75,0,3,0.39182886421875
2019-01-01,23,20.3,65,81,61,7,0.42547422976875
2019-01-01,24,18.8,21,23,39,0,0.12259714336874998
2019-01-02,1,17.7,0,0,0,7,0.0
2019-01-02,2,17.0,0,0,0,7,0.0
2019-01-02,3,16.5,0,0,0,7,0.0
2019-01-02,4,16.2,0,0,0,7,0.0
2019-01-02,5,16.1,0,0,0,6,0.0
2019-01-02,6,16.1,0,0,0,7,0.0
2019-01-02,7,16.2,0,0,0,7,0.0
2019-01-02,8,16.0,0,0,0,6,0.0
2019-01-02,9,15.3,0,0,0,6,0.0
2019-01-02,10,14.2,0,0,0,7,0.0
2019-01-02,11,13.0,0,0,0,6,0.0
2019-01-02,12,12.0,0,0,0,7,0.0
2019-01-02,13,11.2,0,0,0,7,0.0
2019-01-02,14,11.0,2,2,0,7,0.011056525875
2019-01-02,15,11.5,34,34,2,7,0.18676708087499994
2019-01-02,16,12.1,26,26,0,7,0.142608863475
2019-01-02,17,12.5,71,71,0,6,0.38642983846875
2019-01-02,18,12.4,76,76,0,6,0.41354313389999997
2019-01-02,19,12.5,59,59,0,6,0.32163567721875
2019-01-02,20,12.9,87,87,0,6,0.47167969426875
2019-01-02,21,12.8,79,79,0,7,0.42895410766875003
2019-01-02,22,12.6,91,94,6,7,0.509809720275
2019-01-02,23,11.9,28,28,0,7,0.1536689007
2019-01-02,24,11.1,8,8,5,7,0.0441722628
2019-01-03,1,10.4,0,0,0,0,0.0
2019-01-03,2,10.0,0,0,0,7,0.0
2019-01-03,3,9.8,0,0,0,7,0.0
2019-01-03,4,9.6,0,0,0,6,0.0
2019-01-03,5,9.4,0,0,0,6,0.0
2019-01-03,6,9.3,0,0,0,7,0.0
2019-01-03,7,9.2,0,0,0,7,0.0
2019-01-03,8,9.1,0,0,0,7,0.0
2019-01-03,9,9.0,0,0,0,7,0.0
2019-01-03,10,8.9,0,0,0,7,0.0
2019-01-03,11,8.8,0,0,0,6,0.0
2019-01-03,12,8.700000000000001,0,0,0,7,0.0
2019-01-03,13,8.700000000000001,0,0,0,7,0.0
2019-01-03,14,8.9,2,2,0,4,0.011154843674999996
2019-01-03,15,9.7,12,12,0,7,0.0666165519
2019-01-03,16,11.1,79,80,3,8,0.43750900800000003
2019-01-03,17,12.6,131,134,5,4,0.722829019275
2019-01-03,18,13.3,286,310,39,4,1.6272242898749998
2019-01-03,19,13.8,351,424,110,4,2.1853008972
2019-01-03,20,14.9,280,319,61,4,1.6604181055687501
2019-01-03,21,16.0,102,569,837,0,2.8429741999687503
2019-01-03,22,16.3,91,427,782,0,2.17483673281875
2019-01-03,23,14.9,130,188,223,7,0.9965697687
2019-01-03,24,12.9,27,42,234,0,0.229090032675
2019-01-04,1,11.6,0,0,0,0,0.0
2019-01-04,2,10.7,0,0,0,0,0.0
