Delivery Date,Hour,da_price,rt_price
2019-01-01,1,20.49,13.51
2019-01-01,2,19.81,14.5925
2019-01-01,3,19.58,15.4175
2019-01-01,4,19.23,16.1
2019-01-01,5,21.23,16.0325
2019-01-01,6,22.58,16.965
2019-01-01,7,23.97,17.9625
2019-01-01,8,24.55,18.067500000000003
2019-01-01,9,24.91,18.8725
2019-01-01,10,24.69,20.052500000000002
2019-01-01,11,24.62,21.057499999999997
2019-01-01,12,25.34,21.5175
2019-01-01,13,24.18,21.79
2019-01-01,14,22.89,21.96
2019-01-01,15,22.88,22.57
2019-01-01,16,22.77,23.5425
2019-01-01,17,23.68,24.815
2019-01-01,18,31.21,31.8175
2019-01-01,19,35.35,33.207499999999996
2019-01-01,20,30.75,32.7375
2019-01-01,21,28.83,30.4975
2019-01-01,22,27.19,28.205
2019-01-01,23,25.39,26.735
2019-01-01,24,23.88,23.919999999999998
2019-01-02,1,23.8,23.595
2019-01-02,2,23.19,22.9825
2019-01-02,3,23.22,22.9275
2019-01-02,4,22.92,23.127499999999998
2019-01-02,5,25.09,23.8325
2019-01-02,6,28.65,23.2725
2019-01-02,7,39.13,25.3375
2019-01-02,8,38.94,31.065
2019-01-02,9,36.24,37.5725
2019-01-02,10,39.65,43.69
2019-01-02,11,40.24,44.11
2019-01-02,12,37.26,111.0925
2019-01-02,13,34.52,37.2975
2019-01-02,14,34.85,52.455
2019-01-02,15,34.85,34.925
2019-01-02,16,34.55,34.0475
2019-01-02,17,36.34,37.545
2019-01-02,18,64.61,70.64
2019-01-02,19,66.57,57.645
2019-01-02,20,40.82,42.4775
2019-01-02,21,40.0,40.665
2019-01-02,22,35.27,33.4975
2019-01-02,23,31.37,31.0
2019-01-02,24,26.31,28.1725
2019-01-03,1,26.48,25.2675
2019-01-03,2,24.19,23.05
2019-01-03,3,24.75,22.0325
2019-01-03,4,24.3,22.23
2019-01-03,5,24.75,23.28
2019-01-03,6,30.0,25.245
2019-01-03,7,54.87,26.48
2019-01-03,8,40.02,30.8025
2019-01-03,9,35.67,28.942500000000003
2019-01-03,10,36.6,29.502499999999998
2019-01-03,11,33.11,31.214999999999996
2019-01-03,12,30.35,27.5575
2019-01-03,13,27.8,25.0075
2019-01-03,14,26.78,22.11
2019-01-03,15,23.98,19.7375
2019-01-03,16,24.6,19.86
2019-01-03,17,27.11,21.8175
2019-01-03,18,41.09,31.74
2019-01-03,19,44.39,33.2575
2019-01-03,20,34.42,29.3975
2019-01-03,21,33.42,28.56
2019-01-03,22,29.81,26.9775
2019-01-03,23,27.0,26.689999999999998
2019-01-03,24,23.52,22.502499999999998
2019-01-04,1,22.1,19.5075
2019-01-04,2,22.11,18.2425
2019-01-04,3,21.21,17.552500000000002
2019-01-04,4,21.95,17.39
2019-01-04,5,23.0,17.84
2019-01-04,6,28.19,19.6825
2019-01-04,7,55.0,22.0425
2019-01-04,8,45.95,24.2775
2019-01-04,9,35.72,22.305
2019-01-04,10,31.38,22.4775
2019-01-04,11,28.49,23.537499999999998
2019-01-04,12,26.0,21.1425
2019-01-04,13,23.57,20.37
2019-01-04,14,22.95,19.4925
2019-01-04,15,21.62,18.490000000000002
2019-01-04,16,21.0,17.92
2019-01-04,17,22.52,18.22
2019-01-04,18,34.39,19.7325
2019-01-04,19,31.87,21.0175
2019-01-04,20,26.13,20.2625
2019-01-04,21,26.43,20.3025
2019-01-04,22,27.05,19.9475
2019-01-04,23,24.09,19.745
2019-01-04,24,22.55,18.6725
2019-01-05,1,21.2,18.7325
2019-01-05,2,20.01,18.375
2019-01-05,3,19.84,18.0325
2019-01-05,4,19.42,18.3925
2019-01-05,5,20.57,21.05
2019-01-05,6,22.57,24.41
2019-01-05,7,25.55,27.299999999999997
2019-01-05,8,28.82,29.165
2019-01-05,9,30.94,26.2125
2019-01-05,10,29.91,21.2275
2019-01-05,11,24.79,20.697499999999998
2019-01-05,12,23.03,20.72
2019-01-05,13,22.67,20.927500000000002
2019-01-05,14,21.55,19.322499999999998
2019-01-05,15,20.2,18.3375
2019-01-05,16,19.48,17.445
2019-01-05,17,19.51,17.73
2019-01-05,18,23.82,18.7775
2019-01-05,19,21.51,17.2775
2019-01-05,20,19.56,11.395
2019-01-05,21,18.98,7.705
2019-01-05,22,17.72,7.6925
2019-01-05,23,19.08,7.1975
2019-01-05,24,16.75,5.9975
2019-01-06,1,16.85,4.7675
2019-01-06,2,16.01,2.485
2019-01-06,3,16.19,1.04
2019-01-06,4,16.24,2.16
2019-01-06,5,18.08,2.87
2019-01-06,6,18.9,3.79
2019-01-06,7,17.0,6.0575
2019-01-06,8,18.82,8.95
2019-01-06,9,21.66,11.54
2019-01-06,10,21.64,12.127500000000001
2019-01-06,11,19.28,10.685
2019-01-06,12,17.9,7.02
2019-01-06,13,17.05,4.5325
2019-01-06,14,16.46,3.965
2019-01-06,15,15.85,3.035
2019-01-06,16,15.58,3.46
2019-01-06,17,16.16,4.2275
2019-01-06,18,20.98,7.8575
2019-01-06,19,20.7,11.48
2019-01-06,20,18.8,9.97
2019-01-06,21,16.76,8.0725
2019-01-06,22,16.28,5.577500000000001
2019-01-06,23,16.31,1.0225
2019-01-06,24,16.46,-0.7325
2019-01-07,1,11.4,-0.84
2019-01-07,2,11.0,-1.025
2019-01-07,3,11.96,-0.835
2019-01-07,4,12.01,-0.5225000000000001
2019-01-07,5,15.3,0.1175
2019-01-07,6,18.7,7.425
2019-01-07,7,18.18,17.21
2019-01-07,8,20.99,17.43
2019-01-07,9,21.5,17.22
2019-01-07,10,22.11,18.1175
2019-01-07,11,21.9,19.427500000000002
2019-01-07,12,22.21,20.4625
2019-01-07,13,22.75,20.494999999999997
2019-01-07,14,22.95,20.205
2019-01-07,15,22.24,19.872500000000002
2019-01-07,16,22.21,20.215
2019-01-07,17,22.37,20.305
2019-01-07,18,39.81,20.580000000000002
2019-01-07,19,31.11,20.97
