Date,Hour,Temperature,DHI,GHI,DNI,Cloud Type,Solar_kWh
2019-01-01,1,8.1,0,0,0,7,0.0
2019-01-01,2,7.300000000000001,0,0,0,7,0.0
2019-01-01,3,6.4,0,0,0,0,0.0
2019-01-01,4,5.4,0,0,0,0,0.0
2019-01-01,5,4.6000000000000005,0,0,0,0,0.0
2019-01-01,6,3.8,0,0,0,0,0.0
2019-01-01,7,2.8000000000000003,0,0,0,0,0.0
2019-01-01,8,1.7000000000000002,0,0,0,0,0.0
2019-01-01,9,0.8,0,0,0,0,0.0
2019-01-01,10,0.2,0,0,0,0,0.0
2019-01-01,11,-0.1,0,0,0,0,0.0
2019-01-01,12,-0.4,0,0,0,0,0.0
2019-01-01,13,-0.6000000000000001,0,0,0,0,0.0
2019-01-01,14,-0.3,6,6,50,0,0.034739151074999995
2019-01-01,15,0.9,50,147,551,0,0.83181740551875
2019-01-01,16,2.3000000000000003,100,120,61,7,0.6774720659999999
2019-01-01,17,3.8,96,97,3,7,0.54584929006875
2019-01-01,18,5.1000000000000005,179,187,14,7,1.03430499541875
2019-01-01,19,6.2,259,303,79,7,1.6423918750687496
2019-01-01,20,6.800000000000001,244,271,50,7,1.4714754832687502
2019-01-01,21,6.7,194,214,44,7,1.1714011206750001
2019-01-01,22,5.9,173,208,103,7,1.1433663072000002
2019-01-01,23,4.800000000000001,48,48,2,7,0.27070791839999997
2019-01-01,24,3.8,4,4,0,7,0.022781378699999993
2019-01-02,1,3.1,0,0,0,7,0.0
2019-01-02,2,2.4000000000000004,0,0,0,6,0.0
2019-01-02,3,1.8,0,0,0,7,0.0
2019-01-02,4,1.4,0,0,0,7,0.0
2019-01-02,5,1.1,0,0,0,6,0.0
2019-01-02,6,0.9,0,0,0,7,0.0
2019-01-02,7,0.7000000000000001,0,0,0,7,0.0
2019-01-02,8,0.5,0,0,0,6,0.0
2019-01-02,9,0.3,0,0,0,6,0.0
2019-01-02,10,0.0,0,0,0,9,0.0
2019-01-02,11,-0.1,0,0,0,6,0.0
2019-01-02,12,-0.2,0,0,0,6,0.0
2019-01-02,13,-0.2,0,0,0,6,0.0
2019-01-02,14,0.0,1,1,0,6,0.00578649346875
2019-01-02,15,0.4,10,10,0,6,0.057705460875
2019-01-02,16,0.9,6,6,0,6,0.034570606275
2019-01-02,17,1.5,13,13,0,6,0.07465382071875
2019-01-02,18,2.0,16,16,0,6,0.09165924
2019-01-02,19,2.3000000000000003,26,26,0,6,0.148573476675
2019-01-02,20,2.4000000000000004,27,27,0,6,0.15420488551874997
2019-01-02,21,2.5,16,16,0,6,0.09147196799999999
2019-01-02,22,2.5,18,18,0,6,0.10287962887499999
2019-01-02,23,2.3000000000000003,11,11,0,6,0.06297871201875
2019-01-02,24,2.0,1,1,0,6,0.0057396754687499985
2019-01-03,1,1.9,0,0,0,6,0.0
2019-01-03,2,1.7000000000000002,0,0,0,6,0.0
