Delivery Date,Hour,da_price,rt_price
2019-01-01,1,20.12,14.190000000000001
2019-01-01,2,19.62,15.182500000000001
2019-01-01,3,19.22,15.53
2019-01-01,4,18.81,16.060000000000002
2019-01-01,5,20.71,16.0325
2019-01-01,6,22.1,16.965
2019-01-01,7,23.23,17.9625
2019-01-01,8,23.41,18.067500000000003
2019-01-01,9,24.17,18.8725
2019-01-01,10,24.11,20.052500000000002
2019-01-01,11,24.32,21.057499999999997
2019-01-01,12,25.14,21.5175
2019-01-01,13,24.12,21.79
2019-01-01,14,22.84,21.854999999999997
2019-01-01,15,22.77,22.1475
2019-01-01,16,22.56,22.5325
2019-01-01,17,23.45,23.59
2019-01-01,18,30.6,30.5875
2019-01-01,19,34.11,32.0025
2019-01-01,20,29.45,31.509999999999998
2019-01-01,21,27.71,29.240000000000002
2019-01-01,22,26.09,26.919999999999998
2019-01-01,23,24.36,25.447499999999998
2019-01-01,24,23.11,22.585
2019-01-02,1,22.86,22.255
2019-01-02,2,22.36,21.6325
2019-01-02,3,22.34,21.005000000000003
2019-01-02,4,21.95,20.927500000000002
2019-01-02,5,23.66,21.17
2019-01-02,6,26.97,22.0075
2019-01-02,7,37.51,24.0175
2019-01-02,8,37.23,29.8125
2019-01-02,9,34.86,36.79
2019-01-02,10,38.04,43.745
2019-01-02,11,39.42,44.6625
2019-01-02,12,36.66,113.6875
2019-01-02,13,33.92,39.375
2019-01-02,14,34.16,40.2325
2019-01-02,15,34.19,33.5925
2019-01-02,16,33.7,33.705
2019-01-02,17,35.49,36.7775
2019-01-02,18,62.72,73.0325
2019-01-02,19,64.47,58.0025
2019-01-02,20,38.81,41.44
2019-01-02,21,38.02,39.0175
2019-01-02,22,33.61,32.160000000000004
2019-01-02,23,29.5,29.3375
2019-01-02,24,24.85,25.905
2019-01-03,1,25.15,24.884999999999998
2019-01-03,2,23.12,22.5025
2019-01-03,3,23.71,21.555
2019-01-03,4,23.17,21.45
2019-01-03,5,22.65,22.1825
2019-01-03,6,28.07,23.585
2019-01-03,7,54.11,24.95
2019-01-03,8,38.92,30.189999999999998
2019-01-03,9,34.45,29.447499999999998
2019-01-03,10,34.45,30.439999999999998
2019-01-03,11,32.61,31.1425
2019-01-03,12,29.68,27.1175
2019-01-03,13,27.73,24.6525
2019-01-03,14,26.25,22.03
2019-01-03,15,23.67,19.6875
2019-01-03,16,24.3,19.655
2019-01-03,17,26.97,21.555
2019-01-03,18,41.2,31.8325
