Date,Hour,Temperature,DHI,GHI,DNI,Cloud Type,Solar_kWh
2019-01-01,1,10.7,0,0,0,7,0.0
2019-01-01,2,10.2,0,0,0,7,0.0
2019-01-01,3,9.5,0,0,0,7,0.0
2019-01-01,4,8.9,0,0,0,7,0.0
2019-01-01,5,8.3,0,0,0,7,0.0
2019-01-01,6,7.6,0,0,0,7,0.0
2019-01-01,7,6.9,0,0,0,7,0.0
2019-01-01,8,6.4,0,0,0,7,0.0
2019-01-01,9,6.300000000000001,0,0,0,7,0.0
2019-01-01,10,6.5,0,0,0,7,0.0
2019-01-01,11,6.7,0,0,0,7,0.0
2019-01-01,12,7.0,0,0,0,0,0.0
2019-01-01,13,7.300000000000001,0,0,0,0,0.0
2019-01-01,14,8.1,19,25,172,0,0.13948309546875
2019-01-01,15,9.9,64,185,546,0,1.0027263844687502
2019-01-01,16,12.4,171,275,271,7,1.45634013421875
2019-01-01,17,14.7,220,422,398,4,2.1667195482749997
2019-01-01,18,16.2,252,409,270,7,2.08950039376875
2019-01-01,19,16.8,192,543,579,7,2.71322565586875
2019-01-01,20,16.8,297,419,213,3,2.13163828441875
2019-01-01,21,16.5,211,264,109,7,1.3748729940000002
2019-01-01,22,15.6,144,168,67,7,0.8902567548
2019-01-01,23,14.3,31,31,0,7,0.16832376376875
2019-01-01,24,13.3,2,2,0,7,0.010948844475
2019-01-02,1,12.9,0,0,0,4,0.0
2019-01-02,2,12.5,0,0,0,7,0.0
2019-01-02,3,12.2,0,0,0,4,0.0
2019-01-02,4,11.9,0,0,0,7,0.0
2019-01-02,5,11.6,0,0,0,7,0.0
2019-01-02,6,11.4,0,0,0,6,0.0
2019-01-02,7,11.2,0,0,0,6,0.0
2019-01-02,8,11.2,0,0,0,7,0.0
2019-01-02,9,11.1,0,0,0,6,0.0
2019-01-02,10,11.0,0,0,0,6,0.0
2019-01-02,11,10.8,0,0,0,9,0.0
2019-01-02,12,10.6,0,0,0,6,0.0
2019-01-02,13,10.5,0,0,0,6,0.0
2019-01-02,14,10.5,2,2,0,6,0.011079934875
2019-01-02,15,10.8,7,7,0,6,0.03870500956875001
2019-01-02,16,11.1,11,11,0,6,0.06071272081875
2019-01-02,17,11.4,15,15,0,6,0.08264084146875002
2019-01-02,18,11.5,30,30,0,6,0.164882266875
2019-01-02,19,11.5,41,41,0,6,0.22500917746875002
2019-01-02,20,11.4,62,62,0,6,0.33945046267500006
2019-01-02,21,11.3,66,66,1,7,0.361311867675
2019-01-02,22,11.0,40,40,1,7,0.22001858999999999
2019-01-02,23,10.7,4,4,0,4,0.022135290300000002
2019-01-02,24,10.3,1,1,0,7,0.005545380768749999
2019-01-03,1,10.0,0,0,0,7,0.0
2019-01-03,2,9.6,0,0,0,6,0.0
2019-01-03,3,9.4,0,0,0,6,0.0
