Delivery Date,Hour,da_price,rt_price
2019-01-01,1,21.22,12.705
2019-01-01,2,20.5,13.8325
2019-01-01,3,20.31,15.2125
2019-01-01,4,19.99,16.1075
2019-01-01,5,22.15,16.0325
2019-01-01,6,23.86,16.965
2019-01-01,7,25.89,17.9625
2019-01-01,8,26.43,18.067500000000003
2019-01-01,9,25.65,18.8725
2019-01-01,10,25.64,20.052500000000002
2019-01-01,11,25.11,21.057499999999997
2019-01-01,12,25.73,21.5175
2019-01-01,13,24.54,21.79
2019-01-01,14,23.25,22.3525
2019-01-01,15,23.37,24.127499999999998
2019-01-01,16,23.55,27.2825
2019-01-01,17,24.59,29.3475
2019-01-01,18,33.47,36.3625
2019-01-01,19,39.1,37.6825
2019-01-01,20,34.94,37.2675
2019-01-01,21,31.83,35.144999999999996
2019-01-01,22,30.57,32.955
2019-01-01,23,27.68,31.517500000000002
2019-01-01,24,26.02,28.87
2019-01-02,1,25.89,28.5775
2019-01-02,2,25.25,27.995
2019-01-02,3,25.24,28.32
2019-01-02,4,25.13,28.677500000000002
2019-01-02,5,27.81,29.6875
2019-01-02,6,31.45,28.3425
2019-01-02,7,43.03,30.2325
2019-01-02,8,42.73,35.685
2019-01-02,9,38.83,41.95
2019-01-02,10,41.77,45.1575
2019-01-02,11,41.26,45.325
2019-01-02,12,38.04,114.15250000000002
2019-01-02,13,35.19,41.465
2019-01-02,14,35.56,56.92
2019-01-02,15,35.77,35.045
2019-01-02,16,35.86,34.8175
2019-01-02,17,38.41,40.58
2019-01-02,18,67.7,74.7125
2019-01-02,19,70.26,60.5275
2019-01-02,20,44.88,46.31
2019-01-02,21,43.8,44.7325
2019-01-02,22,38.24,37.165
2019-01-02,23,34.34,35.57
2019-01-02,24,29.33,32.99
2019-01-03,1,29.44,26.1575
2019-01-03,2,27.0,25.072499999999998
2019-01-03,3,27.56,23.7925
2019-01-03,4,27.19,24.4825
2019-01-03,5,27.73,26.345
2019-01-03,6,33.15,29.285
2019-01-03,7,59.11,31.08
2019-01-03,8,44.27,33.760000000000005
2019-01-03,9,38.26,29.42
2019-01-03,10,38.67,30.195
2019-01-03,11,34.02,32.7
2019-01-03,12,30.8,28.415
2019-01-03,13,28.19,25.675
2019-01-03,14,27.16,22.325
2019-01-03,15,24.39,19.93
2019-01-03,16,25.14,20.5575
2019-01-03,17,28.01,22.715
2019-01-03,18,42.68,31.7825
2019-01-03,19,47.05,33.845
2019-01-03,20,36.98,30.442500000000003
2019-01-03,21,36.03,29.035
2019-01-03,22,33.02,29.4675
2019-01-03,23,28.62,29.625
2019-01-03,24,25.05,24.915
2019-01-04,1,24.15,19.697499999999998
2019-01-04,2,24.15,18.3675
2019-01-04,3,23.23,17.7
2019-01-04,4,24.09,17.57
2019-01-04,5,25.15,19.43
2019-01-04,6,30.84,22.0225
2019-01-04,7,59.69,25.5425
2019-01-04,8,49.23,28.275
2019-01-04,9,37.28,23.025
2019-01-04,10,32.38,22.625
2019-01-04,11,29.04,23.715
2019-01-04,12,26.34,21.3
2019-01-04,13,23.89,20.52
2019-01-04,14,23.17,19.5525
2019-01-04,15,21.96,18.4875
2019-01-04,16,21.27,17.915
2019-01-04,17,23.06,18.302500000000002
2019-01-04,18,35.17,19.73
2019-01-04,19,33.41,20.9925
2019-01-04,20,28.01,20.2425
2019-01-04,21,27.72,20.3025
2019-01-04,22,28.8,19.9475
2019-01-04,23,25.59,19.745
2019-01-04,24,23.57,18.6725
2019-01-05,1,22.05,18.7325
2019-01-05,2,20.77,18.580000000000002
2019-01-05,3,20.61,18.0975
2019-01-05,4,20.3,18.4775
2019-01-05,5,21.78,24.3425
2019-01-05,6,24.31,26.5475
2019-01-05,7,27.58,30.1175
2019-01-05,8,30.84,34.7925
2019-01-05,9,31.56,27.240000000000002
2019-01-05,10,30.04,21.515
2019-01-05,11,24.98,20.77
2019-01-05,12,23.21,20.72
2019-01-05,13,22.92,20.94
2019-01-05,14,21.71,19.325
2019-01-05,15,20.36,18.35
2019-01-05,16,19.69,17.4775
2019-01-05,17,19.7,17.895
2019-01-05,18,24.03,18.8275
2019-01-05,19,21.88,17.2925
2019-01-05,20,19.26,8.370000000000001
2019-01-05,21,17.44,2.2025
2019-01-05,22,15.31,1.9675
2019-01-05,23,16.72,0.9824999999999999
2019-01-05,24,14.58,0.375
2019-01-06,1,14.19,-0.55
