Date,Hour,Temperature,DHI,GHI,DNI,Cloud Type,Solar_kWh
2019-01-01,1,8.6,0,0,0,0,0.0
2019-01-01,2,9.1,0,0,0,0,0.0
2019-01-01,3,8.9,0,0,0,0,0.0
2019-01-01,4,7.2,0,0,0,0,0.0
2019-01-01,5,4.800000000000001,0,0,0,0,0.0
2019-01-01,6,2.9000000000000004,0,0,0,0,0.0
2019-01-01,7,1.3,0,0,0,0,0.0
2019-01-01,8,-0.2,0,0,0,0,0.0
2019-01-01,9,-1.3,0,0,0,0,0.0
2019-01-01,10,-2.2,0,0,0,0,0.0
2019-01-01,11,-2.7,0,0,0,0,0.0
2019-01-01,12,-3.2,0,0,0,0,0.0
2019-01-01,13,-3.5,0,0,0,0,0.0
2019-01-01,14,-3.2,0,0,0,0,0.0
2019-01-01,15,-2.0,23,33,69,4,0.19172678146875
2019-01-01,16,-0.3,37,38,2,7,0.219125081475
2019-01-01,17,1.5,49,49,0,7,0.28009705696875
2019-01-01,18,3.1,84,84,0,6,0.47486951190000004
2019-01-01,19,4.3,71,72,1,7,0.4056405156
2019-01-01,20,5.0,77,77,0,6,0.43226661121874993
2019-01-01,21,4.9,46,46,0,6,0.259388041275
2019-01-01,22,4.3,33,33,0,6,0.18686005036875
2019-01-01,23,3.1,44,44,1,6,0.25002866789999995
2019-01-01,24,2.0,10,10,0,6,0.057330916875
2019-01-02,1,1.2000000000000002,0,0,0,6,0.0
2019-01-02,2,0.5,0,0,0,7,0.0
2019-01-02,3,0.0,0,0,0,7,0.0
2019-01-02,4,-0.5,0,0,0,7,0.0
2019-01-02,5,-0.8,0,0,0,6,0.0
2019-01-02,6,-1.0,0,0,0,6,0.0
2019-01-02,7,-1.2000000000000002,0,0,0,6,0.0
2019-01-02,8,-1.3,0,0,0,6,0.0
2019-01-02,9,-1.4,0,0,0,9,0.0
2019-01-02,10,-1.6,0,0,0,6,0.0
2019-01-02,11,-1.8,0,0,0,6,0.0
2019-01-02,12,-1.9,0,0,0,6,0.0
2019-01-02,13,-2.0,0,0,0,6,0.0
2019-01-02,14,-2.0,0,0,0,6,0.0
2019-01-02,15,-1.7000000000000002,13,13,0,6,0.07562763511875001
2019-01-02,16,-1.1,14,14,0,6,0.08123826847500001
2019-01-02,17,-0.1,8,8,0,6,0.0462697092
2019-01-02,18,0.9,19,19,0,6,0.10929289831875001
2019-01-02,19,1.7000000000000002,31,31,0,7,0.17746731916874997
2019-01-02,20,2.1,26,26,0,6,0.148695203475
2019-01-02,21,1.9,33,33,0,6,0.18871404316875
2019-01-02,22,1.5,14,14,0,7,0.08038618087499999
2019-01-02,23,0.9,41,41,2,7,0.23518272886874997
2019-01-02,24,0.4,11,11,0,4,0.06346796011875
2019-01-03,1,-0.1,0,0,0,0,0.0
2019-01-03,2,-0.4,0,0,0,4,0.0
2019-01-03,3,-0.8,0,0,0,4,0.0
2019-01-03,4,-0.9,0,0,0,0,0.0
2019-01-03,5,-1.1,0,0,0,0,0.0
2019-01-03,6,-1.2000000000000002,0,0,0,4,0.0
2019-01-03,7,-1.3,0,0,0,0,0.0
2019-01-03,8,-1.5,0,0,0,0,0.0
2019-01-03,9,-1.7000000000000002,0,0,0,0,0.0
2019-01-03,10,-2.2,0,0,0,0,0.0
2019-01-03,11,-2.6,0,0,0,0,0.0
2019-01-03,12,-2.8000000000000003,0,0,0,0,0.0
2019-01-03,13,-3.1,0,0,0,0,0.0
2019-01-03,14,-2.5,0,0,0,0,0.0
2019-01-03,15,-0.2,40,117,537,0,0.6676391643187499
