day,hour,A_t,D_t
1,1,1,0.0
1,2,1,0.0
1,3,1,0.0
1,4,1,0.0
1,5,1,0.0
1,6,1,0.0
1,7,0,0.5824
1,8,1,0.0
1,9,1,0.0
1,10,1,0.0
1,11,1,0.0
1,12,0,0.409155
1,13,1,0.0
1,14,1,0.0
1,15,1,0.0
1,16,0,0.51996
1,17,0,0.43354
1,18,0,0.463765
1,19,1,0.0
1,20,1,0.0
1,21,1,0.0
1,22,1,0.0
1,23,1,0.0
1,24,1,0.0
2,1,1,0.0
2,2,1,0.0
2,3,1,0.0
2,4,1,0.0
2,5,1,0.0
2,6,1,0.0
2,7,1,0.0
2,8,1,0.0
2,9,0,0.42512
2,10,1,0.0
2,11,1,0.0
2,12,1,0.0
2,13,1,0.0
2,14,1,0.0
2,15,0,0.49071999999999993
2,16,0,0.57246
2,17,0,0.542415
2,18,0,0.7389
2,19,0,1.2362600000000001
2,20,0,1.0732650000000001
2,21,0,0.78561
2,22,0,0.48784500000000003
2,23,1,0.0
2,24,1,0.0
3,1,1,0.0
3,2,1,0.0
3,3,1,0.0
3,4,1,0.0
3,5,1,0.0
3,6,1,0.0
3,7,1,0.0
3,8,1,0.0
3,9,1,0.0
3,10,1,0.0
3,11,1,0.0
3,12,1,0.0
3,13,1,0.0
3,14,1,0.0
3,15,1,0.0
3,16,1,0.0
3,17,0,0.472665
3,18,1,0.0
3,19,0,0.44493000000000005
3,20,1,0.0
3,21,1,0.0
3,22,1,0.0
3,23,1,0.0
3,24,1,0.0
4,1,1,0.0
4,2,1,0.0
4,3,1,0.0
4,4,1,0.0
4,5,1,0.0
4,6,1,0.0
4,7,1,0.0
4,8,1,0.0
4,9,1,0.0
4,10,1,0.0
4,11,1,0.0
4,12,0,0.41308500000000004
4,13,1,0.0
4,14,1,0.0
4,15,1,0.0
4,16,1,0.0
4,17,1,0.0
4,18,1,0.0
4,19,1,0.0
4,20,1,0.0
4,21,1,0.0
4,22,0,0.42244
4,23,1,0.0
4,24,1,0.0
5,1,1,0.0
5,2,1,0.0
