day,hour,rt_price,da_price,Solar_kWh
2019-01-01,1,15.86,19.36,0.0
2019-01-01,2,15.85,19.29,0.0
2019-01-01,3,16.145000000000003,18.96,0.0
2019-01-01,4,16.0325,21.01,0.0
2019-01-01,5,16.965,21.98,0.0
2019-01-01,6,17.9625,23.17,0.0
2019-01-01,7,18.067500000000003,24.51,0.0
2019-01-01,8,18.8725,25.47,0.0
2019-01-01,9,20.0525,25.0,0.0
2019-01-01,10,21.0575,24.89,0.0
2019-01-01,11,21.5175,25.38,0.0
2019-01-01,12,21.79,24.0,0.0
2019-01-01,13,21.7475,22.71,0.0
2019-01-01,14,21.7225,22.6,0.11344201351875
2019-01-01,15,21.515,22.29,0.6006002262749999
2019-01-01,16,22.36,23.12,0.4766971533187499
2019-01-01,17,29.35,29.88,1.7517229593187498
2019-01-01,18,30.7825,33.74,1.1411273664000003
2019-01-01,19,30.275,29.11,0.95638579801875
2019-01-01,20,27.97,27.28,0.65480101846875
2019-01-01,21,25.62,25.79,0.426252075075
2019-01-01,22,24.1475,24.21,0.39182886421875
2019-01-01,23,21.2375,22.48,0.42547422976875
2019-01-02,0,20.8975,22.75,0.1225971433687499
2019-01-02,1,20.2675,21.85,0.0
2019-01-02,2,18.305,21.98,0.0
2019-01-02,3,17.575,21.62,0.0
2019-01-02,4,16.7175,23.82,0.0
2019-01-02,5,20.48,27.55,0.0
2019-01-02,6,22.685,36.87,0.0
2019-01-02,7,28.565,37.33,0.0
2019-01-02,8,35.5825,35.13,0.0
2019-01-02,9,43.3325,38.75,0.0
2019-01-02,10,44.29,40.08,0.0
2019-01-02,11,112.0525,37.38,0.0
2019-01-02,12,37.975,34.82,0.0
2019-01-02,13,36.925,34.91,0.0
2019-01-02,14,33.3675,34.54,0.011056525875
2019-01-02,15,33.26,34.47,0.1867670808749999
2019-01-02,16,35.765,35.53,0.142608863475
2019-01-02,17,70.82249999999999,63.66,0.38642983846875
2019-01-02,18,57.1475,65.57,0.4135431338999999
2019-01-02,19,40.3825,39.18,0.32163567721875
2019-01-02,20,39.215,38.59,0.47167969426875
2019-01-02,21,31.9875,34.35,0.42895410766875
2019-01-02,22,29.1175,30.89,0.509809720275
2019-01-02,23,26.9125,25.14,0.1536689007
2019-01-03,0,24.98,24.91,0.0441722628
2019-01-03,1,21.9425,22.03,0.0
2019-01-03,2,21.0675,22.55,0.0
2019-01-03,3,20.41,21.93,0.0
2019-01-03,4,20.68,21.97,0.0
2019-01-03,5,21.07,28.01,0.0
2019-01-03,6,22.985,52.39,0.0
2019-01-03,7,28.485,37.8,0.0
2019-01-03,8,29.28,32.71,0.0
2019-01-03,9,30.17,32.85,0.0
2019-01-03,10,30.5875,31.44,0.0
2019-01-03,11,26.62,28.76,0.0
2019-01-03,12,24.2425,27.4,0.0
2019-01-03,13,21.95,25.88,0.0
2019-01-03,14,19.6375,23.23,0.0111548436749999
2019-01-03,15,19.445,23.94,0.0666165519
2019-01-03,16,21.285,26.59,0.437509008
2019-01-03,17,31.915,40.67,0.722829019275
2019-01-03,18,33.4475,44.04,1.6272242898749998
2019-01-03,19,29.175,34.21,2.1853008972
2019-01-03,20,28.7925,33.11,1.66041810556875
2019-01-03,21,26.5225,29.22,2.8429741999687503
2019-01-03,22,25.915,26.68,2.17483673281875
2019-01-03,23,22.7075,23.07,0.9965697687
2019-01-04,0,19.7275,21.22,0.229090032675
2019-01-04,1,18.415,20.92,0.0
2019-01-04,2,17.73,20.4,0.0
2019-01-04,3,17.4525,21.02,0.0
2019-01-04,4,17.23,22.02,0.0
2019-01-04,5,18.6275,27.28,0.0
2019-01-04,6,20.495,53.45,0.0
2019-01-04,7,22.7325,45.18,0.0
2019-01-04,8,22.1425,35.57,0.0
2019-01-04,9,22.4925,31.64,0.0
2019-01-04,10,23.4025,28.8,0.0
2019-01-04,11,21.02,26.07,0.0
2019-01-04,12,20.2525,23.53,0.0
2019-01-04,13,19.4575,22.99,0.0
2019-01-04,14,18.515,21.86,0.15072864901875
