day,hour,rt_price,da_price,Solar_kWh
2019-01-01,1,14.5925,19.81,0.0
2019-01-01,2,15.4175,19.58,0.0
2019-01-01,3,16.1,19.23,0.0
2019-01-01,4,16.0325,21.23,0.0
2019-01-01,5,16.965,22.58,0.0
2019-01-01,6,17.9625,23.97,0.0
2019-01-01,7,18.067500000000003,24.55,0.0
2019-01-01,8,18.8725,24.91,0.0
2019-01-01,9,20.0525,24.69,0.0
2019-01-01,10,21.0575,24.62,0.0
2019-01-01,11,21.5175,25.34,0.0
2019-01-01,12,21.79,24.18,0.0
2019-01-01,13,21.96,22.89,0.0
2019-01-01,14,22.57,22.88,0.0347391510749999
2019-01-01,15,23.5425,22.77,0.83181740551875
2019-01-01,16,24.815,23.68,0.6774720659999999
2019-01-01,17,31.8175,31.21,0.54584929006875
2019-01-01,18,33.2075,35.35,1.03430499541875
2019-01-01,19,32.7375,30.75,1.6423918750687496
2019-01-01,20,30.4975,28.83,1.4714754832687502
2019-01-01,21,28.205,27.19,1.171401120675
2019-01-01,22,26.735,25.39,1.1433663072000002
2019-01-01,23,23.92,23.88,0.2707079183999999
2019-01-02,0,23.595,23.8,0.0227813786999999
2019-01-02,1,22.9825,23.19,0.0
2019-01-02,2,22.9275,23.22,0.0
2019-01-02,3,23.1275,22.92,0.0
2019-01-02,4,23.8325,25.09,0.0
2019-01-02,5,23.2725,28.65,0.0
2019-01-02,6,25.3375,39.13,0.0
2019-01-02,7,31.065,38.94,0.0
2019-01-02,8,37.5725,36.24,0.0
2019-01-02,9,43.69,39.65,0.0
2019-01-02,10,44.11,40.24,0.0
2019-01-02,11,111.0925,37.26,0.0
2019-01-02,12,37.2975,34.52,0.0
2019-01-02,13,52.455,34.85,0.0
2019-01-02,14,34.925,34.85,0.00578649346875
2019-01-02,15,34.0475,34.55,0.057705460875
2019-01-02,16,37.545,36.34,0.034570606275
2019-01-02,17,70.64,64.61,0.07465382071875
2019-01-02,18,57.645,66.57,0.09165924
2019-01-02,19,42.4775,40.82,0.148573476675
2019-01-02,20,40.665,40.0,0.1542048855187499
2019-01-02,21,33.4975,35.27,0.0914719679999999
2019-01-02,22,31.0,31.37,0.1028796288749999
2019-01-02,23,28.1725,26.31,0.06297871201875
2019-01-03,0,25.2675,26.48,0.0057396754687499
2019-01-03,1,23.05,24.19,0.0
2019-01-03,2,22.0325,24.75,0.0
2019-01-03,3,22.23,24.3,0.0
2019-01-03,4,23.28,24.75,0.0
2019-01-03,5,25.245,30.0,0.0
2019-01-03,6,26.48,54.87,0.0
2019-01-03,7,30.8025,40.02,0.0
2019-01-03,8,28.942500000000003,35.67,0.0
2019-01-03,9,29.5025,36.6,0.0
2019-01-03,10,31.215,33.11,0.0
2019-01-03,11,27.5575,30.35,0.0
