day,hour,rt_price,da_price,Solar_kWh
2019-01-01,1,15.1825,19.62,0.0
2019-01-01,2,15.53,19.22,0.0
2019-01-01,3,16.060000000000002,18.81,0.0
2019-01-01,4,16.0325,20.71,0.0
2019-01-01,5,16.965,22.1,0.0
2019-01-01,6,17.9625,23.23,0.0
2019-01-01,7,18.067500000000003,23.41,0.0
2019-01-01,8,18.8725,24.17,0.0
2019-01-01,9,20.0525,24.11,0.0
2019-01-01,10,21.0575,24.32,0.0
2019-01-01,11,21.5175,25.14,0.0
2019-01-01,12,21.79,24.12,0.0
2019-01-01,13,21.855,22.84,0.0
2019-01-01,14,22.1475,22.77,0.13948309546875
2019-01-01,15,22.5325,22.56,1.0027263844687502
2019-01-01,16,23.59,23.45,1.45634013421875
2019-01-01,17,30.5875,30.6,2.166719548275
2019-01-01,18,32.0025,34.11,2.08950039376875
2019-01-01,19,31.51,29.45,2.71322565586875
2019-01-01,20,29.24,27.71,2.13163828441875
2019-01-01,21,26.92,26.09,1.3748729940000002
2019-01-01,22,25.4475,24.36,0.8902567548
2019-01-01,23,22.585,23.11,0.16832376376875
2019-01-02,0,22.255,22.86,0.010948844475
2019-01-02,1,21.6325,22.36,0.0
2019-01-02,2,21.005000000000003,22.34,0.0
2019-01-02,3,20.9275,21.95,0.0
2019-01-02,4,21.17,23.66,0.0
2019-01-02,5,22.0075,26.97,0.0
2019-01-02,6,24.0175,37.51,0.0
2019-01-02,7,29.8125,37.23,0.0
2019-01-02,8,36.79,34.86,0.0
2019-01-02,9,43.745,38.04,0.0
2019-01-02,10,44.6625,39.42,0.0
2019-01-02,11,113.6875,36.66,0.0
2019-01-02,12,39.375,33.92,0.0
2019-01-02,13,40.2325,34.16,0.0
2019-01-02,14,33.5925,34.19,0.011079934875
2019-01-02,15,33.705,33.7,0.03870500956875
2019-01-02,16,36.7775,35.49,0.06071272081875
2019-01-02,17,73.0325,62.72,0.08264084146875
2019-01-02,18,58.0025,64.47,0.164882266875
2019-01-02,19,41.44,38.81,0.22500917746875
2019-01-02,20,39.0175,38.02,0.339450462675
2019-01-02,21,32.160000000000004,33.61,0.361311867675
2019-01-02,22,29.3375,29.5,0.2200185899999999
2019-01-02,23,25.905,24.85,0.0221352903
2019-01-03,0,24.885,25.15,0.0055453807687499
2019-01-03,1,22.5025,23.12,0.0
2019-01-03,2,21.555,23.71,0.0
2019-01-03,3,21.45,23.17,0.0
2019-01-03,4,22.1825,22.65,0.0
2019-01-03,5,23.585,28.07,0.0
2019-01-03,6,24.95,54.11,0.0
2019-01-03,7,30.19,38.92,0.0
2019-01-03,8,29.4475,34.45,0.0
2019-01-03,9,30.44,34.45,0.0
2019-01-03,10,31.1425,32.61,0.0
2019-01-03,11,27.1175,29.68,0.0
2019-01-03,12,24.6525,27.73,0.0
2019-01-03,13,22.03,26.25,0.0
2019-01-03,14,19.6875,23.67,0.01677220711875
2019-01-03,15,19.655,24.3,0.0447715332
2019-01-03,16,21.555,26.97,0.0951071743687499
2019-01-03,17,31.8325,41.2,0.35018854486875
2019-01-03,18,33.6325,43.63,0.33816113071875
2019-01-03,19,29.46,33.62,1.1731230964687498
2019-01-03,20,28.8625,32.75,1.1162152972687502
2019-01-03,21,26.5625,28.6,1.296485291475
2019-01-03,22,25.7575,26.22,0.858393659475
2019-01-03,23,21.0525,22.89,0.45859081201875
2019-01-04,0,19.6125,21.43,0.06179421661875
2019-01-04,1,18.3275,21.62,0.0
2019-01-04,2,17.634999999999998,20.52,0.0
2019-01-04,3,17.4225,21.27,0.0
2019-01-04,4,17.5325,22.33,0.0
2019-01-04,5,19.1575,27.24,0.0
2019-01-04,6,21.255000000000003,54.33,0.0
2019-01-04,7,23.2125,45.61,0.0
2019-01-04,8,22.225,35.94,0.0
2019-01-04,9,22.49,32.2,0.0
2019-01-04,10,23.47,28.76,0.0
2019-01-04,11,21.085,26.22,0.0
2019-01-04,12,20.3125,23.68,0.0
2019-01-04,13,19.475,22.99,0.0
2019-01-04,14,18.5025,21.52,0.14164842796875
2019-01-04,15,17.94,21.04,1.0884547104750002
2019-01-04,16,18.215,22.63,2.0344231296000004
2019-01-04,17,19.7775,34.86,2.73578087761875
2019-01-04,18,21.09,32.0,3.147096271275
2019-01-04,19,20.32,25.66,3.2650914816
2019-01-04,20,20.3075,26.26,3.081560955075
2019-01-04,21,19.9475,26.73,2.6137180284187496
2019-01-04,22,19.745,23.5,1.8811562622187497
2019-01-04,23,18.6725,22.22,0.933914734875
2019-01-05,0,18.7325,20.9,0.07179324091875
2019-01-05,1,18.3125,19.86,0.0
2019-01-05,2,17.9875,19.69,0.0
2019-01-05,3,18.305,19.22,0.0
2019-01-05,4,19.4,20.1,0.0
2019-01-05,5,20.945,22.02,0.0
2019-01-05,6,22.0525,24.44,0.0
2019-01-05,7,22.5525,27.55,0.0
2019-01-05,8,21.6,30.64,0.0
2019-01-05,9,20.55,30.01,0.0
2019-01-05,10,20.6275,24.87,0.0
2019-01-05,11,20.72,23.11,0.0
2019-01-05,12,20.93,22.45,0.0
2019-01-05,13,19.3225,21.7,0.0
2019-01-05,14,18.3625,20.6,0.1344269628
2019-01-05,15,17.4575,19.8,1.0933024542750005
2019-01-05,16,17.677500000000002,19.9,2.0423957148
2019-01-05,17,18.7675,24.17,2.743633312875
2019-01-05,18,17.2925,21.75,3.146378915475
2019-01-05,19,14.195,20.53,3.2657152501687503
2019-01-05,20,12.7975,20.25,3.0871359384750003
2019-01-05,21,13.0,19.63,2.62809375541875
2019-01-05,22,12.915,20.05,1.905384593475
2019-01-05,23,11.19,17.91,0.95996659471875
2019-01-06,0,9.69,17.56,0.076912285275
2019-01-06,1,5.9525,16.63,0.0
2019-01-06,2,3.1175,16.66,0.0
2019-01-06,3,5.305,16.53,0.0
2019-01-06,4,6.545,18.07,0.0
2019-01-06,5,8.3625,18.97,0.0
2019-01-06,6,11.1525,18.32,0.0
2019-01-06,7,13.6925,19.91,0.0
2019-01-06,8,17.7425,22.39,0.0
2019-01-06,9,17.54,22.49,0.0
2019-01-06,10,14.16,20.27,0.0
2019-01-06,11,11.21,18.85,0.0
2019-01-06,12,9.14,18.07,0.0
2019-01-06,13,8.7375,17.63,0.0
2019-01-06,14,7.2725,17.0,0.1214029104749999
2019-01-06,15,8.01,17.15,1.0439032056187498
2019-01-06,16,9.0375,17.66,1.9203047748
2019-01-06,17,13.1825,21.93,2.385430875675
2019-01-06,18,17.375,21.76,3.0371856679687497
2019-01-06,19,15.6525,20.02,2.14121308561875
2019-01-06,20,13.58,18.51,2.38358297896875
2019-01-06,21,10.71,17.48,1.30938558496875
2019-01-06,22,2.85,16.75,1.04063409
2019-01-06,23,-0.65,16.36,0.82771666891875
2019-01-07,0,-0.8425,13.25,0.07024122421875
2019-01-07,1,-1.025,12.55,0.0
2019-01-07,2,-0.835,13.53,0.0
2019-01-07,3,-0.525,13.45,0.0
2019-01-07,4,0.1175,16.34,0.0
2019-01-07,5,7.425,19.97,0.0
2019-01-07,6,17.247500000000002,20.2,0.0
2019-01-07,7,17.475,23.15,0.0
2019-01-07,8,17.265,22.32,0.0
2019-01-07,9,18.1375,22.68,0.0
2019-01-07,10,19.4525,22.43,0.0
2019-01-07,11,20.515,22.7,0.0
2019-01-07,12,20.5575,23.22,0.0
2019-01-07,13,20.2825,23.44,0.0
2019-01-07,14,19.955,22.68,0.03800039866875
2019-01-07,15,20.2975,22.69,0.36789238141875
2019-01-07,16,20.37,23.04,0.32359605091875
2019-01-07,17,23.9225,40.8,0.52976119471875
2019-01-07,18,25.46,31.84,1.4456230550999998
2019-01-07,19,22.6275,23.11,1.431234258075
2019-01-07,20,21.5625,23.04,2.52358765621875
2019-01-07,21,18.96,23.12,1.7637129190687502
2019-01-07,22,16.03,21.45,0.73247117011875
2019-01-07,23,14.5475,19.22,0.53070691831875
2019-01-08,0,14.92,16.16,0.053468431875
2019-01-08,1,15.945,15.81,0.0
2019-01-08,2,16.830000000000002,15.57,0.0
2019-01-08,3,16.3975,17.06,0.0
2019-01-08,4,16.255,18.3,0.0
2019-01-08,5,18.4125,21.01,0.0
2019-01-08,6,22.9125,23.64,0.0
2019-01-08,7,23.7125,26.57,0.0
2019-01-08,8,20.2775,25.21,0.0
2019-01-08,9,19.165,22.5,0.0
2019-01-08,10,18.475,23.55,0.0
2019-01-08,11,18.9125,21.0,0.0
2019-01-08,12,20.96,22.0,0.0
2019-01-08,13,20.095,22.31,0.0
2019-01-08,14,19.9525,21.93,0.075765244275
2019-01-08,15,19.7625,21.52,0.91662288046875
2019-01-08,16,18.44,21.88,1.8231512311687497
2019-01-08,17,22.875,41.5,2.3244127812
2019-01-08,18,22.5875,32.26,2.62550524021875
2019-01-08,19,20.7175,25.38,2.39621382511875
2019-01-08,20,19.6925,24.65,2.46836400451875
2019-01-08,21,19.8525,25.22,1.8127926999
2019-01-08,22,19.535,22.12,1.1619049347
2019-01-08,23,18.07,21.43,0.6049933803
2019-01-09,0,17.0425,19.25,0.0479806957687499
2019-01-09,1,16.5025,18.82,0.0
2019-01-09,2,16.552500000000002,19.88,0.0
2019-01-09,3,17.465,19.19,0.0
2019-01-09,4,18.93,20.91,0.0
2019-01-09,5,22.8125,21.5,0.0
2019-01-09,6,29.4825,34.05,0.0
2019-01-09,7,25.57,29.75,0.0
2019-01-09,8,28.1925,26.57,0.0
2019-01-09,9,23.695,26.66,0.0
2019-01-09,10,21.6075,23.75,0.0
2019-01-09,11,21.15,22.85,0.0
2019-01-09,12,20.6225,22.37,0.0
2019-01-09,13,20.25,21.36,0.0
2019-01-09,14,19.74,20.63,0.1047562341187499
2019-01-09,15,18.965,20.53,0.996689869875
2019-01-09,16,19.605,21.26,1.642891673475
2019-01-09,17,26.945,29.94,2.639530368675
2019-01-09,18,25.905,32.11,3.09254691256875
2019-01-09,19,27.125,24.75,3.2328432432
2019-01-09,20,25.7525,24.66,3.0868293456
2019-01-09,21,22.18,24.24,2.63880025171875
2019-01-09,22,21.2175,22.72,1.9241380473187504
2019-01-09,23,19.055,21.48,0.98930132296875
2019-01-10,0,18.6925,18.05,0.0993823242749999
2019-01-10,1,17.935000000000002,17.93,0.0
2019-01-10,2,17.94,17.47,0.0
2019-01-10,3,17.935000000000002,18.12,0.0
2019-01-10,4,17.75,19.07,0.0
2019-01-10,5,18.73,20.49,0.0
2019-01-10,6,32.5425,36.74,0.0
2019-01-10,7,22.3475,27.98,0.0
2019-01-10,8,20.8675,24.01,0.0
2019-01-10,9,20.4275,22.54,0.0
2019-01-10,10,20.0525,22.31,0.0
2019-01-10,11,19.5675,21.0,0.0
2019-01-10,12,20.6475,20.5,0.0
2019-01-10,13,20.8225,20.36,0.0
2019-01-10,14,20.3,19.41,0.1238234010749999
2019-01-10,15,19.5475,19.27,1.05083135926875
2019-01-10,16,19.6,19.98,1.9731154788000005
2019-01-10,17,23.3175,26.67,2.26570509
2019-01-10,18,25.7475,25.5,3.067724155275
2019-01-10,19,22.0975,22.61,2.6159694702750005
2019-01-10,20,20.9475,22.57,1.22307686206875
2019-01-10,21,20.8525,22.83,1.2134570635687498
2019-01-10,22,21.32,20.96,0.77387089696875
2019-01-10,23,19.765,19.36,0.9000885348
2019-01-11,0,19.2825,18.45,0.099087370875
2019-01-11,1,18.455,19.2,0.0
2019-01-11,2,18.4125,18.47,0.0
2019-01-11,3,19.3175,18.09,0.0
2019-01-11,4,19.7375,20.08,0.0
2019-01-11,5,19.6275,21.13,0.0
2019-01-11,6,22.2525,25.21,0.0
2019-01-11,7,22.37,24.36,0.0
2019-01-11,8,22.2275,23.33,0.0
2019-01-11,9,22.0225,22.74,0.0
2019-01-11,10,21.4625,22.56,0.0
2019-01-11,11,21.325,21.88,0.0
2019-01-11,12,20.465,20.63,0.0
2019-01-11,13,19.5675,20.37,0.0
2019-01-11,14,19.1625,19.97,0.1113787215
2019-01-11,15,18.81,20.29,1.00672685251875
2019-01-11,16,19.51,20.55,1.9288305927
2019-01-11,17,19.93,29.45,2.6341572879
2019-01-11,18,20.1075,29.16,3.05881467361875
2019-01-11,19,21.3025,24.66,3.194855833275
2019-01-11,20,27.015,22.48,3.0398290155
2019-01-11,21,23.0125,22.27,2.57741066941875
2019-01-11,22,22.0125,20.17,0.5993822917687499
2019-01-11,23,28.455,19.85,0.96944945056875
2019-01-12,0,22.38,20.34,0.10368878371875
2019-01-12,1,19.5075,19.67,0.0
2019-01-12,2,18.155,18.44,0.0
2019-01-12,3,17.1575,17.92,0.0
2019-01-12,4,15.705,18.85,0.0
2019-01-12,5,16.442500000000003,18.46,0.0
2019-01-12,6,19.4475,20.03,0.0
2019-01-12,7,19.1975,20.63,0.0
2019-01-12,8,21.2875,21.68,0.0
2019-01-12,9,22.96,22.26,0.0
2019-01-12,10,21.0425,21.64,0.0
2019-01-12,11,21.0225,21.56,0.0
2019-01-12,12,21.2225,21.18,0.0
2019-01-12,13,21.08,21.16,0.0
2019-01-12,14,19.5725,21.45,0.11398276141875
2019-01-12,15,18.515,21.05,1.0247988768749996
2019-01-12,16,19.47,21.71,0.7791682236187499
2019-01-12,17,93.4425,30.5,1.856748494475
