day,hour,rt_price,da_price,Solar_kWh
2019-01-01,1,13.8325,20.5,0.0
2019-01-01,2,15.2125,20.31,0.0
2019-01-01,3,16.1075,19.99,0.0
2019-01-01,4,16.0325,22.15,0.0
2019-01-01,5,16.965,23.86,0.0
2019-01-01,6,17.9625,25.89,0.0
2019-01-01,7,18.067500000000003,26.43,0.0
2019-01-01,8,18.8725,25.65,0.0
2019-01-01,9,20.0525,25.64,0.0
2019-01-01,10,21.0575,25.11,0.0
2019-01-01,11,21.5175,25.73,0.0
2019-01-01,12,21.79,24.54,0.0
2019-01-01,13,22.3525,23.25,0.0
2019-01-01,14,24.1275,23.37,0.0
2019-01-01,15,27.2825,23.55,0.19172678146875
2019-01-01,16,29.3475,24.59,0.219125081475
2019-01-01,17,36.3625,33.47,0.28009705696875
2019-01-01,18,37.6825,39.1,0.4748695119
2019-01-01,19,37.2675,34.94,0.4056405156
2019-01-01,20,35.145,31.83,0.4322666112187499
2019-01-01,21,32.955,30.57,0.259388041275
2019-01-01,22,31.5175,27.68,0.18686005036875
2019-01-01,23,28.87,26.02,0.2500286678999999
2019-01-02,0,28.5775,25.89,0.057330916875
2019-01-02,1,27.995,25.25,0.0
2019-01-02,2,28.32,25.24,0.0
2019-01-02,3,28.6775,25.13,0.0
2019-01-02,4,29.6875,27.81,0.0
2019-01-02,5,28.3425,31.45,0.0
2019-01-02,6,30.2325,43.03,0.0
2019-01-02,7,35.685,42.73,0.0
2019-01-02,8,41.95,38.83,0.0
2019-01-02,9,45.1575,41.77,0.0
2019-01-02,10,45.325,41.26,0.0
2019-01-02,11,114.15250000000002,38.04,0.0
2019-01-02,12,41.465,35.19,0.0
2019-01-02,13,56.92,35.56,0.0
2019-01-02,14,35.045,35.77,0.0
2019-01-02,15,34.8175,35.86,0.07562763511875
2019-01-02,16,40.58,38.41,0.081238268475
2019-01-02,17,74.7125,67.7,0.0462697092
2019-01-02,18,60.5275,70.26,0.10929289831875
2019-01-02,19,46.31,44.88,0.1774673191687499
2019-01-02,20,44.7325,43.8,0.148695203475
2019-01-02,21,37.165,38.24,0.18871404316875
2019-01-02,22,35.57,34.34,0.0803861808749999
2019-01-02,23,32.99,29.33,0.2351827288687499
2019-01-03,0,26.1575,29.44,0.06346796011875
2019-01-03,1,25.0725,27.0,0.0
2019-01-03,2,23.7925,27.56,0.0
2019-01-03,3,24.4825,27.19,0.0
2019-01-03,4,26.345,27.73,0.0
